Labeled Percentage,Init Type,Downstream,Seeds,Test Loss,Test F1 Score
0.25,scratch,frozen,3,2.323136654767123,0.017036605382142293
0.25,scratch,frozen,4,2.325167027386752,0.014956449629604027
0.25,scratch,finetune,0,2.336373123255643,0.027731119255139075
0.25,scratch,finetune,1,2.2613928101279517,0.04848989425348212
0.25,scratch,finetune,2,2.359846830368042,0.009831630984960104
0.25,scratch,finetune,3,2.321123654192144,0.036210391966339954
0.25,scratch,finetune,4,2.337409561330622,0.02209907674097584
0.25,pretrain,frozen,0,2.300097107887268,0.008512682949649809
0.25,pretrain,frozen,1,2.323104565793818,0.009392257658036451
0.25,pretrain,frozen,2,2.271061658859253,0.008557059012456751
0.25,pretrain,frozen,3,2.2889382297342475,0.03566934727403548
0.25,pretrain,frozen,4,2.2874072790145874,0.0084912407854207
0.25,pretrain,finetune,0,2.320648420940746,0.010969510842014613
0.25,pretrain,finetune,1,2.276007663119923,0.07461024961852805
0.25,pretrain,finetune,2,2.3840418512170967,0.010214313457106959
0.25,pretrain,finetune,3,2.2958121516487817,0.031905672605351494
0.25,pretrain,finetune,4,2.3242579265074297,0.008517020254141819
0.2,scratch,frozen,0,2.2759208245710894,0.008514128226890837
0.2,scratch,frozen,1,2.4144223603335293,0.00887579031086496
0.2,scratch,frozen,2,2.3554280562834307,0.00872073377962126
0.2,scratch,frozen,3,2.4017734310843726,0.01557060315575195
0.2,scratch,frozen,4,2.272306431423534,0.013608369727556817
0.2,scratch,finetune,0,2.2520643255927344,0.0952238121971122
0.2,scratch,finetune,1,2.3211508989334106,0.018056113250571996
0.2,scratch,finetune,2,2.328823208808899,0.047104682082284646
0.2,scratch,finetune,3,2.2931744185360996,0.03635843254561562
0.2,scratch,finetune,4,2.2908667000857266,0.015301521225634858
0.2,pretrain,frozen,0,2.335765394297513,0.008512682949649809
0.2,pretrain,frozen,1,2.2982951511036265,0.06905843721441857
0.2,pretrain,frozen,2,2.221753705631603,0.07327704824106075
0.2,pretrain,frozen,3,2.275838927789168,0.10172178212763812
0.2,pretrain,frozen,4,2.262547113678672,0.07216292364060864
0.2,pretrain,finetune,0,2.313467112454501,0.07164537749614744
0.2,pretrain,finetune,1,2.2807068824768066,0.020354723554673965
0.2,pretrain,finetune,2,2.2566167332909326,0.24056522385224607
0.2,pretrain,finetune,3,2.3490038351579146,0.012656449067417508
0.2,pretrain,finetune,4,2.293958999893882,0.08227619619014014
0.15,scratch,frozen,0,2.2926182746887207,0.0666806671556792
0.15,scratch,frozen,1,2.3213154727762397,0.025709719458485162
0.15,scratch,frozen,2,2.300997734069824,0.008736474042868685
0.15,scratch,frozen,3,2.2573118534955112,0.14625858975892878
0.15,scratch,frozen,4,2.2740968357432974,0.0606208242116676
0.15,scratch,finetune,0,2.2971533103422686,0.22869150449193612
0.15,scratch,finetune,1,2.3768848289142954,0.008557059012456751
0.15,scratch,finetune,2,2.3070991147648203,0.018943476816779877
0.15,scratch,finetune,3,2.299022837118669,0.23577587010151438
0.15,scratch,finetune,4,2.204709703272039,0.18301582961883675
0.15,pretrain,frozen,0,2.339175354350697,0.01314853238065872
0.15,pretrain,frozen,1,2.272296753796664,0.09505231501170543
0.15,pretrain,frozen,2,2.2974094694310967,0.030145239638418208
0.15,pretrain,frozen,3,2.2808480262756348,0.012381715290703579
0.15,pretrain,frozen,4,2.313921408219771,0.008559964635211406
0.15,pretrain,finetune,0,2.308635267344388,0.00744790222425994
