params,val_loss
"(512, 2048, 64, 1, 8193, 4, 0.1, 0.0001)",4.8204792986313505
"(512, 2048, 64, 2, 8193, 2, 0.1, 1e-05)",3.9615029642979303
"(512, 2048, 64, 2, 8193, 2, 0.1, 1e-05)",3.7199521561463675
"(512, 2048, 64, 2, 8193, 2, 0.1, 1e-05)",3.2858435908953347
"(512, 2048, 64, 2, 8193, 2, 0.1, 1e-05)",4.884550253550212
"(512, 2048, 64, 2, 8193, 2, 0.1, 1e-05)",4.8415587941805525
"(512, 2048, 64, 2, 8193, 2, 0.1, 1e-05)",4.841641416152318
"(512, 2048, 64, 2, 8193, 2, 0.1, 1e-05)",4.8394520084063215
"(512, 2048, 64, 2, 8193, 2, 0.1, 1e-05)",4.838526949286461
"(512, 2048, 64, 2, 8193, 2, 0.1, 1e-05)",4.838558653990428
"(512, 2048, 64, 2, 8193, 2, 0.1, 1e-05)",4.837435667713483
"(512, 2048, 64, 2, 8193, 2, 0.1, 0.0001)",4.827278032898903
"(512, 2048, 64, 2, 8193, 2, 0.1, 0.0001)",10.35722013314565
"(512, 2048, 64, 2, 8193, 2, 0.1, 0.0001)",42.70842949549357
"(512, 2048, 64, 2, 8193, 2, 0.1, 0.0001)",9.38307116429011
"(512, 2048, 64, 2, 8193, 2, 0.1, 0.0001)",7.737886826197307
"(512, 2048, 64, 2, 8193, 2, 0.1, 0.0001)",5.408960958321889
"(512, 2048, 64, 2, 8193, 2, 0.1, 0.0001)",19.209225833415985
"(512, 2048, 64, 2, 8193, 2, 0.1, 0.0001)",4.8365763773520785
"(512, 2048, 64, 2, 8193, 2, 0.1, 0.0001)",4.8308068712552386
"(512, 2048, 64, 2, 8193, 2, 0.1, 0.0001)",4.8277585705121355
"(512, 2048, 64, 2, 8193, 4, 0.1, 1e-05)",3.7613448798656464
"(512, 2048, 64, 2, 8193, 4, 0.1, 1e-05)",4.635579138994217
"(512, 2048, 64, 2, 8193, 4, 0.1, 1e-05)",4.491586059331894
"(512, 2048, 64, 2, 8193, 4, 0.1, 1e-05)",4.764409273862839
"(512, 2048, 64, 2, 8193, 4, 0.1, 1e-05)",4.834191044171651
"(512, 2048, 64, 2, 8193, 4, 0.1, 1e-05)",4.834633722901344
"(512, 2048, 64, 2, 8193, 4, 0.1, 1e-05)",4.834246565898259
"(512, 2048, 64, 2, 8193, 4, 0.1, 1e-05)",4.835964217782021
"(512, 2048, 64, 2, 8193, 4, 0.1, 1e-05)",4.835600207249324
"(512, 2048, 64, 2, 8193, 4, 0.1, 1e-05)",4.83512822786967
"(512, 2048, 64, 2, 8193, 4, 0.1, 0.0001)",4.9062394599119825
"(512, 2048, 64, 2, 8193, 4, 0.1, 0.0001)",4.830350091060002
"(512, 2048, 64, 2, 8193, 4, 0.1, 0.0001)",4.8249704241752625
"(512, 2048, 64, 2, 8193, 4, 0.1, 0.0001)",6.2649626433849335
"(512, 2048, 64, 2, 8193, 4, 0.1, 0.0001)",21.429053862889607
"(512, 2048, 64, 2, 8193, 4, 0.1, 0.0001)",5.435294131437938
"(512, 2048, 64, 2, 8193, 4, 0.1, 0.0001)",4.829728320240974
"(512, 2048, 64, 2, 8193, 4, 0.1, 0.0001)",4.8522935310999555
"(512, 2048, 64, 2, 8193, 4, 0.1, 0.0001)",4.871606628100078
"(512, 2048, 64, 2, 8193, 4, 0.1, 0.0001)",4.999661366144816
"(512, 2048, 128, 1, 8193, 2, 0.1, 1e-05)",3.588524808486303
"(512, 2048, 128, 1, 8193, 2, 0.1, 1e-05)",4.589936435222626
"(512, 2048, 128, 1, 8193, 2, 0.1, 1e-05)",4.168603797753652
"(512, 2048, 128, 1, 8193, 2, 0.1, 1e-05)",3.7911489407221475
"(512, 2048, 128, 1, 8193, 2, 0.1, 1e-05)",3.5123202204704285
"(512, 2048, 128, 1, 8193, 2, 0.1, 1e-05)",3.0941621561845145
"(512, 2048, 128, 1, 8193, 2, 0.1, 1e-05)",3.224316174785296
"(512, 2048, 128, 1, 8193, 2, 0.1, 1e-05)",2.9001059234142303
"(512, 2048, 128, 1, 8193, 2, 0.1, 1e-05)",5.502672026554744
"(512, 2048, 128, 1, 8193, 2, 0.1, 1e-05)",4.855335712432861
"(512, 2048, 128, 1, 8193, 2, 0.1, 0.0001)",4.8215009073416395
"(512, 2048, 128, 1, 8193, 2, 0.1, 0.0001)",4.827333763241768
"(512, 2048, 128, 1, 8193, 2, 0.1, 0.0001)",4.819706171751022
"(512, 2048, 128, 1, 8193, 2, 0.1, 0.0001)",4.818944871425629
"(512, 2048, 128, 1, 8193, 2, 0.1, 0.0001)",4.817660674452782
"(512, 2048, 128, 1, 8193, 2, 0.1, 0.0001)",4.950232694546382
"(512, 2048, 128, 1, 8193, 2, 0.1, 0.0001)",4.824872478842735
"(512, 2048, 128, 1, 8193, 2, 0.1, 0.0001)",5.203085194031398
"(512, 2048, 128, 1, 8193, 2, 0.1, 0.0001)",17.465340733528137
"(512, 2048, 128, 1, 8193, 2, 0.1, 0.0001)",6.568862557411194
"(512, 2048, 128, 1, 8193, 4, 0.1, 1e-05)",3.8479291598002114
"(512, 2048, 128, 1, 8193, 4, 0.1, 1e-05)",3.63168303668499
